AU	DE	ID	C1	JI	RP	DI	BE	BN	SN	SO	LA	TC	PN	PP	PU	DB	TI	DT	VL	PY	J9	CR	AU_UN	AU1_UN	AU_UN_NR	SR_FULL	SR
ZANTALIS F;KOULOURAS G;KARABETSOS S	BLOCKCHAINS; CONSENSUS PROTOCOL; CONSUMER ELECTRONICS; FINANCE; PEER-TO-PEER COMPUTING; SECURITY; SMART CONTRACTS	BLOCKCHAIN; DATA PRIVACY; DIGITAL STORAGE; ELECTRONIC MONEY; PEER TO PEER NETWORKS; BLOCK-CHAIN; CONSENSUS PROTOCOLS; CONSUMER APPLICATIONS; DECENTRALISATION; PEER TO PEER; PEER-TO-PEER COMPUTING; RECENT RESEARCHES; SECURITY; TRUST AND SECURITY; USER PRIVACY; SMART CONTRACT	TELSIP RESEARCH LABORATORY, UNIVERSITY OF WEST ATTICA, GREECE	IEEE CONSUM. ELECTRON. MAG.	NA	10.1109/MCE.2023.3248872	NA	NA	21622248	IEEE CONSUMER ELECTRONICS MAGAZINE	ENGLISH	0	NA	1–11	INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.	ISI	BLOCKCHAIN TECHNOLOGY A FRAMEWORK FOR ENDLESS APPLICATIONS	ARTICLE	NA	2023	IEEE CONSUM ELECTRON MAG	none	UNIVERSITY OF WEST ATTICA	UNIVERSITY OF WEST ATTICA	NA	ZANTALIS F, 2023, IEEE CONSUM ELECTRON MAG	ZANTALIS F, 2023, IEEE CONSUM ELECTRON MAG
SNEHLATA S;SHUKLA P;SINGH A;TIWARI S;RISHABH R;DWIVEDI V	BLOCKCHAIN; DIGITAL VOTING; NEAR PROTOCOL; SECURITY	NA	DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING, UNITED COLLEGE OF ENGINEERING & RESEARCH, UP, PRAYAGRAJ, 211010, INDIA	SN COMPUT. SCI.	A.K. SINGH; DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING, UNITED COLLEGE OF ENGINEERING & RESEARCH, PRAYAGRAJ, UP, 211010, INDIA; EMAIL: ASHUIT89@GMAIL.COM	10.1007/s42979-023-02038-y	NA	NA	2662995X	SN COMPUTER SCIENCE	ENGLISH	0	5	NA	SPRINGER	ISI	AN INTELLIGENT BLOCKCHAINORIENTED DIGITAL VOTING SYSTEM USING NEAR PROTOCOL	ARTICLE	4	2023	SN COMPUT SCI	none	UNITED COLLEGE OF ENGINEERING AND RESEARCH	NOTREPORTED;UNITED COLLEGE OF ENGINEERING AND RESEARCH;NOTREPORTED	NA	SNEHLATA S, 2023, SN COMPUT SCI	SNEHLATA S, 2023, SN COMPUT SCI
VENUGOPALAN S;STANCIKOVA I;HOMOLIAK I	BITCOIN; BLOCKCHAIN GOVERNANCE; BLOCKCHAINS; DELAYS; ELECTRONIC VOTING; HARDWARE; PEAK-END EFFECT; PROOF OF WORK; SECURITY; SMART CONTRACTS; VERIFIABLE DELAY FUNCTION; VOTING	BITCOIN; BLOCKCHAIN; ELECTRONIC VOTING; BLOCK-CHAIN; BLOCKCHAIN GOVERNANCE; DELAY; DELAY FUNCTION; ELECTRONIC VOTING; END-EFFECTS; HARDWARE; PEAK-END EFFECT; PROOF OF WORK; SECURITY; VERIFIABLE DELAY FUNCTION; VOTING; SMART CONTRACT	BRNO UNIVERSITY OF TECHNOLOGY, CZECH REPUBLIC	IEEE TRANS. EMERG. TOP. COMPUT.	NA	10.1109/TETC.2023.3315748	NA	NA	21686750	IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING	ENGLISH	0	NA	1–11	IEEE COMPUTER SOCIETY	ISI	ALWAYS ON VOTING A FRAMEWORK FOR REPETITIVE VOTING ON THE BLOCKCHAIN	ARTICLE	NA	2023	IEEE TRANS EMERG TOP COMPUT	none	BRNO UNIVERSITY OF TECHNOLOGY	BRNO UNIVERSITY OF TECHNOLOGY	NA	VENUGOPALAN S, 2023, IEEE TRANS EMERG TOP COMPUT	VENUGOPALAN S, 2023, IEEE TRANS EMERG TOP COMPUT
MHAIBES H;ABOOD M;FARHAN A	BLOCK CIPHER; FEISTEL STRUCTURE; INFORMATION SECURITY; IOT; LFSR; LIGHTWEIGHT CRYPTOGRAPHY	NA	TECHNICAL INSTITUTE OF KUT, MIDDLE TECHNICAL UNIVERSITY, BAGHDAD, IRAQ; COLLEGE OF ENGINEERING, AL IRAQIA UNIVERSITY, BAGHDAD, IRAQ; COMPUTER SCIENCE DEPT., UNIVERSITY OF TECHNOLOGY, BAGHDAD, IRAQ	INT. J. INTERACT. MOB. TECHNOL.	H.I. MHAIBES; TECHNICAL INSTITUTE OF KUT, MIDDLE TECHNICAL UNIVERSITY, BAGHDAD, IRAQ; EMAIL: HAKEEM.EMADE@MTU.EDU.IQ	10.3991/ijim.v16i20.34505	NA	NA	18657923	INTERNATIONAL JOURNAL OF INTERACTIVE MOBILE TECHNOLOGIES	ENGLISH	2	20	98 – 113	INTERNATIONAL ASSOCIATION OF ONLINE ENGINEERING	ISI	SIMPLE LIGHTWEIGHT CRYPTOGRAPHIC ALGORITHM TO SECURE IMBEDDED IOT DEVICES	ARTICLE	16	2022	INT J INTERACT MOB TECHNOL	none	MIDDLE TECHNICAL UNIVERSITY;AL IRAQIA UNIVERSITY;UNIVERSITY OF TECHNOLOGY	NOTREPORTED;MIDDLE TECHNICAL UNIVERSITY;NOTREPORTED	NA	MHAIBES HI, 2022, INT J INTERACT MOB TECHNOL	MHAIBES HI, 2022, INT J INTERACT MOB TECHNOL
YE Q;LANG Y;GUO H;TANG Y	BLOCKCHAIN; DUALRING; LATTICE; PRIVACY PRESERVING; TRACEABLE RING SIGNATURE; TRIPLERING	AUTHENTICATION; COMPUTATIONAL EFFICIENCY; ELECTRONIC VOTING; PRIVACY-PRESERVING TECHNIQUES; RANDOM ERRORS; BLOCK-CHAIN; DUAL-RING; LATTICE; LATTICE-BASED; POST QUANTUM; PRIVACY PRESERVING; RING SIGNATURE SCHEMES; RING SIGNATURES; TRACEABLE RING SIGNATURE; TRIPLERING; BLOCKCHAIN	SCHOOL OF COMPUTER SCIENCE AND ENGINEERING, XI'AN UNIVERSITY OF TECHNOLOGY, XI'AN, 710048, CHINA; SCHOOL OF SOFTWARE, HENAN POLYTECHNIC UNIVERSITY, JIAOZUO, 454003, CHINA; XI'AN MODERN CHEMISTRY RESEARCH INSTITUTE, XI'AN, 710065, CHINA	INF SCI	Q. YE; SCHOOL OF COMPUTER SCIENCE AND ENGINEERING, XI'AN UNIVERSITY OF TECHNOLOGY, XI'AN, 710048, CHINA; EMAIL: YEQING2108@163.COM	10.1016/j.ins.2023.119536	NA	NA	00200255	INFORMATION SCIENCES	ENGLISH	0	NA	NA	ELSEVIER INC.	ISI	EFFICIENT LATTICEBASED TRACEABLE RING SIGNATURE SCHEME WITH ITS APPLICATION IN BLOCKCHAIN	ARTICLE	648	2023	INF SCI	none	XI'AN UNIVERSITY OF TECHNOLOGY;HENAN POLYTECHNIC UNIVERSITY;XI'AN MODERN CHEMISTRY RESEARCH INSTITUTE	NOTREPORTED;XI'AN UNIVERSITY OF TECHNOLOGY;NOTREPORTED	NA	YE Q, 2023, INF SCI	YE Q, 2023, INF SCI
GRONTAS P;PAGOURTZIS A	ANONYMITY; BALLOT SECRECY; BLIND SIGNATURES; COMMITMENT SCHEMES; CRYPTOGRAPHIC GAMES; ELECTRONIC VOTING; EVERLASTING PRIVACY	CRYPTOGRAPHY; VOTING MACHINES; ANONYMITY; BALLOT SECRECY; BLIND SIGNATURES; COMMITMENT SCHEME; CRYPTOGRAPHIC GAME; CRYPTOGRAPHIC VOTING; CRYPTOGRAPHICS; ELECTRONIC VOTING; EVERLASTING PRIVACY; VOTING SYSTEMS; ELECTRONIC VOTING	SCHOOL OF ELECTRICAL AND COMPUTER ENGINEERING, NATIONAL TECHNICAL UNIVERSITY OF ATHENS, ATHENS, GREECE	INT. J. INF. SECUR.	P. GRONTAS; SCHOOL OF ELECTRICAL AND COMPUTER ENGINEERING, NATIONAL TECHNICAL UNIVERSITY OF ATHENS, ATHENS, GREECE; EMAIL: PGRONTAS@CORELAB.NTUA.GR	10.1007/s10207-023-00666-2	NA	NA	16155262	INTERNATIONAL JOURNAL OF INFORMATION SECURITY	ENGLISH	0	4	819 – 832	SPRINGER SCIENCE AND BUSINESS MEDIA DEUTSCHLAND GMBH	ISI	ANONYMITY AND EVERLASTING PRIVACY IN ELECTRONIC VOTING	ARTICLE	22	2023	INT J INF SECUR	none	NATIONAL TECHNICAL UNIVERSITY OF ATHENS	NOTREPORTED;NATIONAL TECHNICAL UNIVERSITY OF ATHENS;EMAIL: PGRONTAS@CORELAB.NTUA.GR	NA	GRONTAS P, 2023, INT J INF SECUR	GRONTAS P, 2023, INT J INF SECUR
AGRAWAL K;AGGARWAL M;TANWAR S;SHARMA G;BOKORO P;SHARMA R	AGRICULTURE; BANKING; BLOCKCHAIN; E-VOTING; ETHEREUM; HEALTHCARE; PRIVACY; SECURITY; TRUST	BLOCKCHAIN; CRYPTOGRAPHY; DATA PRIVACY; DISTRIBUTED LEDGER; ELECTRONIC VOTING; ETHEREUM; INTELLECTUAL PROPERTY; INTERNET OF THINGS; LAWS AND LEGISLATION; NETWORK SECURITY; SOCIAL ASPECTS; TAXONOMIES; BLOCK-CHAIN; E-VOTING; ELECTRONIC VOTING; HEALTHCARE; MEDICAL SERVICES; POWER CAPACITOR; PRIVACY; SECURITY; TRUST; TRUST COMPUTING; AGRICULTURE	GURUKULA KANGRI (DEEMED TO BE UNIVERSITY), FACULTY OF ENGINEERING AND TECHNOLOGY, DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING, HARIDWAR, 249404, INDIA; INSTITUTE OF TECHNOLOGY, NIRMA UNIVERSITY, DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING, GUJARAT, AHMEDABAD, 382481, INDIA; UNIVERSITY OF JOHANNESBURG, DEPARTMENT OF ELECTRICAL ENGINEERING TECHNOLOGY, JOHANNESBURG, 2006, SOUTH AFRICA; UNIVERSITY OF PETROLEUM AND ENERGY STUDIES, CENTRE FOR INTER-DISCIPLINARY RESEARCH AND INNOVATION, DEHRADUN, 248001, INDIA	IEEE ACCESS	M. AGGARWAL; GURUKULA KANGRI (DEEMED TO BE UNIVERSITY), FACULTY OF ENGINEERING AND TECHNOLOGY, DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING, HARIDWAR, 249404, INDIA; EMAIL: MAYANK@GKV.AC.IN; S. TANWAR; INSTITUTE OF TECHNOLOGY, NIRMA UNIVERSITY, DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING, AHMEDABAD, GUJARAT, 382481, INDIA; EMAIL: SUDEEP.TANWAR@NIRMAUNI.AC.IN	10.1109/ACCESS.2022.3219160	NA	NA	21693536	IEEE ACCESS	ENGLISH	5	NA	116858 – 116906	INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.	ISI	AN EXTENSIVE BLOCKCHAIN BASED APPLICATIONS SURVEY TOOLS FRAMEWORKS OPPORTUNITIES CHALLENGES AND SOLUTIONS	REVIEW	10	2022	IEEE ACCESS	none	GURUKULA KANGRI (DEEMED TO BE UNIVERSITY);NIRMA UNIVERSITY;UNIVERSITY OF JOHANNESBURG;UNIVERSITY OF PETROLEUM AND ENERGY STUDIES	NOTREPORTED;GURUKULA KANGRI (DEEMED TO BE UNIVERSITY);NOTREPORTED;NOTREPORTED;NIRMA UNIVERSITY;NOTREPORTED	NA	AGRAWAL K, 2022, IEEE ACCESS	AGRAWAL K, 2022, IEEE ACCESS
IHM Y;KIM S	BLOCKCHAIN; ELECTRONIC VOTING; ONLINE VOTING; SMART CONTRACT	AUTHENTICATION; BLOCKCHAIN; COST REDUCTION; CRYPTOGRAPHY; DISTRIBUTED LEDGER; ELECTRONIC VOTING; VOTING MACHINES; BLOCK-CHAIN; DESIGN IMPLEMENTATION; DESIGN VERIFICATION; ELECTRONIC VOTING; EVALUATION ITEMS; ITS APPLICATIONS; ONLINE AUTHENTICATION; ONLINE VOTING; TRANSACTION PROCESSING; VOTING SYSTEMS; SMART CONTRACT	KOREA UNIVERSITY OF TECHNOLOGY AND EDUCATION, 1600 CHUNGJEOL-RO, BYEONGCHEON-MYEON, DONGNAM-GU, CHUNGNAM PROVINCE, CHEONAN, 31243, SOUTH KOREA	IEICE TRANS INF SYST	S.-H. KIM; KOREA UNIVERSITY OF TECHNOLOGY AND EDUCATION, CHEONAN, 1600 CHUNGJEOL-RO, BYEONGCHEON-MYEON, DONGNAM-GU, CHUNGNAM PROVINCE, 31243, SOUTH KOREA; EMAIL: SH.KIM@KOREATECH.AC.KR	10.1587/transinf.2021EDK0005	NA	NA	09168532	IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS	ENGLISH	1	8	1361 – 1372	INSTITUTE OF ELECTRONICS INFORMATION COMMUNICATION ENGINEERS	ISI	DEVELOPMENT OF A BLOCKCHAINBASED ONLINE SECRET ELECTRONIC VOTING SYSTEM	ARTICLE	E105D	2022	IEICE TRANS INF SYST	none	KOREA UNIVERSITY OF TECHNOLOGY AND EDUCATION	NOTREPORTED;KOREA UNIVERSITY OF TECHNOLOGY AND EDUCATION;EMAIL: SH.KIM@KOREATECH.AC.KR	NA	IHM YS, 2022, IEICE TRANS INF SYST	IHM YS, 2022, IEICE TRANS INF SYST
PEREIRA B;TORRES J;SOBRAL P;MOREIRA R;SOARES C;PEREIRA I	BLOCKCHAIN; ELECTRONIC VOTING; GENETIC ALGORITHM; VOTING	NA	INTELLIGENT SENSING AND UBIQUITOUS SYSTEMS GROUP (ISUS), UNIVERSITY FERNANDO PESSOA, PRAÇA 9 DE ABRIL, PORTO, 4249-004, PORTUGAL; ARTIFICIAL INTELLIGENCE AND COMPUTER SCIENCE LABORATORY (LIACC), UNIVERSITY OF PORTO, PORTO, 4150-181, PORTUGAL; INTERDISCIPLINARY STUDIES RESEARCH CENTER (ISRC), INSTITUTO SUPERIOR DE ENGENHARIA DO PORTO (ISEP), POLYTECHNIC OF PORTO, PORTO, 4249-015, PORTUGAL	CRYPTOGR.	B.M.B. PEREIRA; INTELLIGENT SENSING AND UBIQUITOUS SYSTEMS GROUP (ISUS), UNIVERSITY FERNANDO PESSOA, PORTO, PRAÇA 9 DE ABRIL, 4249-004, PORTUGAL; EMAIL: 38054@UFP.EDU.PT	10.3390/cryptography7020027	NA	NA	2410387X	CRYPTOGRAPHY	ENGLISH	0	2	NA	MDPI	ISI	BLOCKCHAINBASED ELECTRONIC VOTING A SECURE AND TRANSPARENT SOLUTION	ARTICLE	7	2023	CRYPTOGR	none	UNIVERSITY FERNANDO PESSOA;UNIVERSITY OF PORTO;INSTITUTO SUPERIOR DE ENGENHARIA DO PORTO (ISEP)	NOTREPORTED;UNIVERSITY FERNANDO PESSOA;NOTREPORTED	NA	PEREIRA BMB, 2023, CRYPTOGR	PEREIRA BMB, 2023, CRYPTOGR
MOHSEN A;SHUJAA M;WAHHAB A	BLOCKCHAIN; COMPUTER SECURITY; E-VOTING; LIGHTWEIGHT BLOCK CIPHER; RASPBERRY PI; SPECK ALGORITHM	NA	MIDDLE TECHNICAL UNIVERSITY, ELECTRICAL ENGINEERING TECHNICAL COLLEGE, BAGHDAD, IRAQ; MIDDLE TECHNICAL UNIVERSITY, TECHNICAL COLLEGE OF MANAGEMENT, BAGHDAD, IRAQ	INTERNAT. J. INTEL. SYST. APPL. ENG.	A.S. MOHSEN; MIDDLE TECHNICAL UNIVERSITY, ELECTRICAL ENGINEERING TECHNICAL COLLEGE, BAGHDAD, IRAQ; EMAIL: BBC0053@MTU.EDU.IQ	NA	NA	NA	21476799	INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS AND APPLICATIONS IN ENGINEERING	ENGLISH	1	2	367 – 376	ISMAIL SARITAS	ISI	PROPOSED AUTHENTICATION PLATFORM FOR EVOTING IOT SYSTEM	ARTICLE	11	2023	INTERNAT J INTEL SYST APPL ENG	none	MIDDLE TECHNICAL UNIVERSITY;MIDDLE TECHNICAL UNIVERSITY	NOTREPORTED;MIDDLE TECHNICAL UNIVERSITY;NOTREPORTED	NA	MOHSEN AS, 2023, INTERNAT J INTEL SYST APPL ENG	MOHSEN AS, 2023, INTERNAT J INTEL SYST APPL ENG
LARRIBA A;LÓPEZ D	BLIND SIGNATURES; ELECTRONIC VOTE; INTERPOLATION; PERFECT SECRECY; POST-QUANTUM CRYPTOGRAPHY	QUANTUM CRYPTOGRAPHY; BLIND SIGNATURES; ELECTRONIC VOTE; ELECTRONIC VOTING PROTOCOLS; LIGHT WEIGHT; PERFECT SECRECY; POST QUANTUM; POST QUANTUM CRYPTOGRAPHY; SECURITY PROPERTIES; VOTING SCHEMES; NETWORK SECURITY	VRAIN - VALENCIAN RESEARCH INSTITUTE FOR ARTIFICIAL INTELLIGENCE, UNIVERSITAT POLITÈCNICA DE VALÈNCIA, SPAIN	INFORMATICA	D. LÓPEZ; VRAIN - VALENCIAN RESEARCH INSTITUTE FOR ARTIFICIAL INTELLIGENCE, UNIVERSITAT POLITÈCNICA DE VALÈNCIA, SPAIN; EMAIL: DLOPEZ@DSIC.UPV.ES	10.15388/22-INFOR503	NA	NA	08684952	INFORMATICA (NETHERLANDS)	ENGLISH	0	4	749 – 769	IOS PRESS BV	ISI	SUVS SECURE UNENCRYPTED VOTING SCHEME	ARTICLE	33	2022	INFORMATICA	none	UNIVERSITAT POLITÈCNICA DE VALÈNCIA	NOTREPORTED;UNIVERSITAT POLITÈCNICA DE VALÈNCIA;NOTREPORTED	NA	LARRIBA AM, 2022, INFORMATICA	LARRIBA AM, 2022, INFORMATICA
KHLAPONIN Y;VYSHNIAKOV V;KOMARNYTSKYI O	AUDIT OF INTERNET VOTING; OPEN SERVER BLOCK; SECRET INTERNET VOTING	NA	DEPARTMENT OF CYBERSECURITY AND COMPUTER ENGINEERING, KYIV NATIONAL UNIVERSITY OF CONSTRUCTION AND ARCHITECTURE, 31 POVITROFLOTSKY AVE, KYIV, 03037, UKRAINE; DEPARTMENT OF TRANSPORT INFRASTRUCTURE, KYIV CITY STATE ADMINISTRATION, 6 LEONTOVYCHA STR., KYIV, 01030, UKRAINE	EUREKA, PHYS. ENG.	Y. KHLAPONIN; DEPARTMENT OF CYBERSECURITY AND COMPUTER ENGINEERING, KYIV NATIONAL UNIVERSITY OF CONSTRUCTION AND ARCHITECTURE, KYIV, 31 POVITROFLOTSKY AVE, 03037, UKRAINE; EMAIL: Y.KHLAPONIN@GMAIL.COM	10.21303/2461-4262.2023.002742	NA	NA	24614254	EUREKA, PHYSICS AND ENGINEERING	ENGLISH	0	1	189 – 200	SCIENTIFIC ROUTE	ISI	PROOF OF THE POSSIBILITY FOR A PUBLIC AUDIT OF A SECRET INTERNET VOTING SYSTEM	ARTICLE	2023	2023	EUREKA, PHYS ENG	none	KYIV NATIONAL UNIVERSITY OF CONSTRUCTION AND ARCHITECTURE	NOTREPORTED;KYIV NATIONAL UNIVERSITY OF CONSTRUCTION AND ARCHITECTURE;NOTREPORTED	NA	KHLAPONIN Y, 2023, EUREKA, PHYS ENG	KHLAPONIN Y, 2023, EUREKA, PHYS ENG
WAHAB Y;GHAZI A;AL-DAWOODI A;ALISAWI M;ABDULLAH S;HAMMOOD L;NAWAF A	AUTHENTICATION; BLOCKCHAIN; E-VOTING; ELECTION; FRAMEWORK; SECURITY; SMART CONTRACT	NA	COMPUTER SCIENCE, COLLEGE OF COMPUTER SCIENCE AND INFORMATION TECHNOLOGY, UNIVERSITY OF KIRKUK, KIRKUK, IRAQ; GAZI UNIVERSITY, ANKARA, TURKEY; DEPARTMENT OF COMPUTER TECHNICAL ENGINEERING, AL-QALAM UNIVERSITY COLLEGE, KIRKUK, IRAQ; FACULTY OF APPLIED AND HUMAN SCIENCES, UNIVERSITY MALAYSIA PERLIS, PERLIS, MALAYSIA; INFORMATION TECHNOLOGY AND COMMUNICATION DEPARTMENT, RAFIDAIN BANK, IRAQ; ALTINBAS UNIVERSITY, ISTANBUL, TURKEY; COMPUTER SCIENCE, COLLEGE OF COMPUTER SCIENCE, UNIVERSITY OF ANBAR, KIRKUK, IRAQ	INT. J. INTERACT. MOB. TECHNOL.	A. GHAZI; DEPARTMENT OF COMPUTER TECHNICAL ENGINEERING, AL-QALAM UNIVERSITY COLLEGE, KIRKUK, IRAQ; EMAIL: ALAN@ALQALAM.EDU.IQ	10.3991/ijim.v16i10.30045	NA	NA	18657923	INTERNATIONAL JOURNAL OF INTERACTIVE MOBILE TECHNOLOGIES	ENGLISH	2	10	210 – 222	INTERNATIONAL ASSOCIATION OF ONLINE ENGINEERING	ISI	A FRAMEWORK FOR BLOCKCHAIN BASED EVOTING SYSTEM FOR IRAQ	ARTICLE	16	2022	INT J INTERACT MOB TECHNOL	none	UNIVERSITY OF KIRKUK;GAZI UNIVERSITY;AL-QALAM UNIVERSITY COLLEGE;UNIVERSITY MALAYSIA PERLIS;INFORMATION TECHNOLOGY AND COMMUNICATION DEPARTMENT;ALTINBAS UNIVERSITY;UNIVERSITY OF ANBAR	NOTREPORTED;AL-QALAM UNIVERSITY COLLEGE;NOTREPORTED	NA	WAHAB YM, 2022, INT J INTERACT MOB TECHNOL	WAHAB YM, 2022, INT J INTERACT MOB TECHNOL
SALMAN S;AL-JANABI S;SAGHEER A	BLOCKCHAIN; CRYPTOGRAPHY; E-VOTING; INFORMATION SECURITY	NA	DEPARTMENT OF COMPUTER SCIENCE, AL-IRAQIA, UNIVERSITY, BAGHDAD, IRAQ; COLLEGE OF COMPUTER SCIENCE AND IT, UNIVERSITY OF ANBAR, RAMADI, IRAQ; AL-QALAM UNIVERSITY COLLEGE, KIRKUK, IRAQ; UNIVERSITY OF ANBAR, RAMADI, IRAQ	IRAQI J. SCI.	S.A.-B. SALMAN; DEPARTMENT OF COMPUTER SCIENCE, AL-IRAQIA, UNIVERSITY, BAGHDAD, IRAQ; EMAIL: SABASALMAN2019@GMAIL.COM	10.24996/ijs.2022.63.3.38	NA	NA	00672904	IRAQI JOURNAL OF SCIENCE	ENGLISH	2	3	1362 – 1375	UNIVERSITY OF BAGHDAD-COLLEGE OF SCIENCE	ISI	A REVIEW ON EVOTING BASED ON BLOCKCHAIN MODELS	ARTICLE	63	2022	IRAQI J SCI	none	UNIVERSITY;UNIVERSITY OF ANBAR;AL-QALAM UNIVERSITY COLLEGE;UNIVERSITY OF ANBAR	NOTREPORTED;UNIVERSITY;NOTREPORTED	NA	SALMAN SAB, 2022, IRAQI J SCI	SALMAN SAB, 2022, IRAQI J SCI
CHENTOUF F;BOUCHKAREN S	BLOCKCHAIN; CYBERSECURITY; ETHEREUM; INTERNET OF THINGS; SMART CITY; SMART CONTRACT	NA	ERMIA TEAM, DEPARTMENT OF COMPUTER SCIENCE, ENSAT, ABDELMALEK ESSAADI UNIVERSITY, TANGIER, MOROCCO	INT. J. ELECTR. COMPUT. ENG.	S. BOUCHKAREN; DEPARTMENT OF COMPUTER SCIENCE, ENSAT, ABDELMALEK ESSAADI UNIVERSITY, TANGER, BP 1818, ROUTE ZIATEN, 90000, MOROCCO; EMAIL: SBOUCHKAREN@UAE.AC.MA	10.11591/ijece.v13i2.pp1848-1857	NA	NA	20888708	INTERNATIONAL JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING	ENGLISH	3	2	1848 – 1857	INSTITUTE OF ADVANCED ENGINEERING AND SCIENCE	ISI	SECURITY AND PRIVACY IN SMART CITY A SECURE EVOTING SYSTEM BASED ON BLOCKCHAIN	ARTICLE	13	2023	INT J ELECTR COMPUT ENG	none	ABDELMALEK ESSAADI UNIVERSITY	NOTREPORTED;ABDELMALEK ESSAADI UNIVERSITY;NOTREPORTED	NA	CHENTOUF FZ, 2023, INT J ELECTR COMPUT ENG	CHENTOUF FZ, 2023, INT J ELECTR COMPUT ENG
MAHANAYAK S;NIKHITA B;BILGAIYAN S	AUTHENTICATION; BLOCKCHAIN; E-VOTING; END-TO-END VERIFIABLE; INTEGRITY; SECURITY; SMART CONTRACTS	NA	KALINGA INSTITUTE OF INDUSTRIAL TECHNOLOGY, BHUBANESWAR, INDIA; SCHOOL OF COMPUTER ENGINEERING, KALINGA INSTITUTE OF INDUSTRIAL TECHNOLOGY, ODISHA, BHUBANESWAR, INDIA	SN COMPUT. SCI.	S. BILGAIYAN; KALINGA INSTITUTE OF INDUSTRIAL TECHNOLOGY, BHUBANESWAR, INDIA; EMAIL: SAURABH.BILGAIYANFCS@KIIT.AC.IN	10.1007/s42979-023-02041-3	NA	NA	2662995X	SN COMPUTER SCIENCE	ENGLISH	0	5	NA	SPRINGER	ISI	ENHANCING EVOTING SECURITY WITH QUANTUMRESISTANT ENCRYPTION A BLOCKCHAINBASED APPROACH UTILIZING ELLIPTIC CURVE DIFFIEHELLMAN AND DECENTRALIZED STORAGE	ARTICLE	4	2023	SN COMPUT SCI	none	KALINGA INSTITUTE OF INDUSTRIAL TECHNOLOGY;SCHOOL OF COMPUTER ENGINEERING	NOTREPORTED;KALINGA INSTITUTE OF INDUSTRIAL TECHNOLOGY;NOTREPORTED	NA	MAHANAYAK SP, 2023, SN COMPUT SCI	MAHANAYAK SP, 2023, SN COMPUT SCI
TU S;HSU C;YOU B	BIOMETRIC; BLOCKCHAIN; DISTRIBUTED LEDGER; E-VOTING	NA	DEPARTMENT OF INFORMATION MANAGEMENT, CHINESE CULTURE UNIVERSITY, TAIWAN; DEPARTMENT OF INFORMATION MANAGEMENT, MING CHUAN UNIVERSITY, TAIWAN	INT. ARAB J. OF INFO. TECH.	NA	10.34028/iajit/20/5/13	NA	NA	16833198	INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY	ENGLISH	0	5	808 – 818	ZARKA PRIVATE UNIVERSITY	ISI	AN ONSITE ELECTRONIC VOTING SYSTEM USING BLOCKCHAIN AND BIOMETRICS	ARTICLE	20	2023	INT ARAB J OF INFO TECH	none	CHINESE CULTURE UNIVERSITY;MING CHUAN UNIVERSITY	CHINESE CULTURE UNIVERSITY;MING CHUAN UNIVERSITY	NA	TU SF, 2023, INT ARAB J OF INFO TECH	TU SF, 2023, INT ARAB J OF INFO TECH
CIAMPI M;ROMANO D;SCHMID G	ANCHORS; BLOCKCHAIN; DISTRIBUTED LEDGER TECHNOLOGY; ORACLES; PROCESS AUTHENTICITY; TOKENS	NA	ISTITUTO DI CALCOLO E RETI AD ALTE PRESTAZIONI, CONSIGLIO NAZIONALE DELLE RICERCHE, NAPLES, 80131, ITALY	CRYPTOGR.	G. SCHMID; ISTITUTO DI CALCOLO E RETI AD ALTE PRESTAZIONI, CONSIGLIO NAZIONALE DELLE RICERCHE, NAPLES, 80131, ITALY; EMAIL: GIOVANNI.SCHMID@ICAR.CNR.IT	10.3390/cryptography6040058	NA	NA	2410387X	CRYPTOGRAPHY	ENGLISH	0	4	NA	MDPI	ISI	PROCESS AUTHENTICATION THROUGH BLOCKCHAIN THREE CASE STUDIES	ARTICLE	6	2022	CRYPTOGR	none	ISTITUTO DI CALCOLO E RETI AD ALTE PRESTAZIONI	G. SCHMID;ISTITUTO DI CALCOLO E RETI AD ALTE PRESTAZIONI;EMAIL: GIOVANNI.SCHMID@ICAR.CNR.IT	NA	CIAMPI M, 2022, CRYPTOGR	CIAMPI M, 2022, CRYPTOGR
